,0,1,2
Ｒｅ：ゼロから始める異世界生活, 0.01, 0.00, 0.98
転生したらスライムだった件, 0.00, 0.23, 0.77
異世界転移で女神様から祝福を！　～いえ、手持ちの異能があるので結構です～, 0.99, 0.00, 0.00
盾の勇者の成り上がり, 0.99, 0.00, 0.00
私、能力は平均値でって言ったよね！, 0.00, 0.00, 0.99
賢者の孫, 0.00, 0.26, 0.74
日本国召喚, 0.00, 0.35, 0.65
蜘蛛ですが、なにか？, 0.00, 0.00, 1.00
無職転生　- 異世界行ったら本気だす -, 0.00, 0.00, 0.99
スライム倒して３００年、知らないうちにレベルＭＡＸになってました, 0.99, 0.00, 0.00
本好きの下剋上　～司書になるためには手段を選んでいられません～, 0.99, 0.00, 0.00
八男って、それはないでしょう！　, 0.00, 1.00, 0.00
異世界はスマートフォンとともに。, 0.00, 1.00, 0.00
ありふれた職業で世界最強, 0.00, 0.00, 0.99
とんでもスキルで異世界放浪メシ, 0.34, 0.00, 0.66
異世界のんびり農家, 0.00, 1.00, 0.00
痛いのは嫌なので防御力に極振りしたいと思います。, 0.20, 0.80, 0.00
異世界居酒屋「のぶ」, 0.00, 1.00, 0.00
異世界で土地を買って農場を作ろう, 1.00, 0.00, 0.00
転生貴族の異世界冒険録～自重を知らない神々の使徒～, 0.00, 0.42, 0.58
転生して田舎でスローライフをおくりたい, 0.08, 0.00, 0.91
異世界薬局, 0.15, 0.84, 0.00
